stype,name,type,nstud,startsem,semester,tuition,room,board,fees,aid,fracresidential,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
cohort,Full time 201730,ug,3,201730,202130,19600,5312.5,2800,650,10954,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,Full time 201830,ug,799,201830,202130,19600,5312.5,2800,650,11224,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,Full time 201930,ug,683,201930,202130,19600,5312.5,2800,650,12362,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,Full time 202030,ug,768,202030,202130,19600,5312.5,2800,650,12791,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,Full time 202130,ug,870,202130,202130,19600,5312.5,2800,650,12791,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
comment,,,,,,,,,,,,,,,,,,,,,,
cohort,MSA 202040,MSA,7,202040,202130,1306,0,0,150,0,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202130,MSA,47,202130,202130,1306,0,0,150,0,0,0.72,0.1,0,0,0,0,0,0,0,0,0
comment,,,,,,,,,,,,,,,,,,,,,,
cohort,MBA 202030,MBA,10,202030,202130,900,0,0,150,0,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202040,MBA,10,202040,202130,900,0,0,150,0,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202130,MBA,60,202130,202130,900,0,0,150,0,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
comment,future cohorts,,,,,,,,,,,,,,,,,,,,,
cohort,Full time 202230,ug,1050,202230,202230,19600,5312.5,2800,650,12791,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,Full time 202330,ug,885,202330,202330,19600,5312.5,2800,650,12791,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,Full time 202430,ug,885,202430,202430,19600,5312.5,2800,650,12791,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,Full time 202530,ug,885,202530,202530,19600,5312.5,2800,650,12791,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,Full time 202630,ug,885,202630,202630,19600,5312.5,2800,650,12791,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
comment ,projected MSA cohorts,,,,,,,,,,,,,,,,,,,,,
cohort,MSA 202140,MSA,10,202140,202140,1306,0,0,150,0,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202230,MSA,47,202230,202230,1306,0,0,150,0,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202240,MSA,10,202240,202240,1306,0,0,150,0,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202330,MSA,47,202330,202330,1306,0,0,150,0,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202340,MSA,10,202340,202340,1306,0,0,150,0,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202430,MSA,47,202430,202430,1306,0,0,150,0,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202440,MSA,10,202440,202440,1306,0,0,150,0,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202530,MSA,47,202530,202530,1306,0,0,150,0,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202540,MSA,10,202540,202540,1306,0,0,150,0,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202630,MSA,47,202630,202630,1306,0,0,150,0,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202640,MSA,10,202640,202640,1306,0,0,150,0,0,0.72,0.1,0,0,0,0,0,0,0,0,0
comment,projected MBA cohorts,,,,,,,,,,,,,,,,,,,,,
cohort,MBA 202140,MBA,10,202140,202140,900,0,0,150,0,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202230,MBA,60,202230,202230,900,0,0,150,0,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202240,MBA,10,202240,202240,900,0,0,150,0,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202330,MBA,60,202330,202330,900,0,0,150,0,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202340,MBA,10,202340,202340,900,0,0,150,0,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202430,MBA,60,202430,202430,900,0,0,150,0,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202440,MBA,10,202440,202440,900,0,0,150,0,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202530,MBA,60,202530,202530,900,0,0,150,0,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202540,MBA,10,202540,202540,900,0,0,150,0,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202630,MBA,60,202630,202630,900,0,0,150,0,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202640,MBA,10,202640,202640,900,0,0,150,0,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0